,Port,Port_Code,State_Country,Port_Name
CNH,"CANNON CORNERS, NY",CNH,AK,ALCAN
CAP,"CAPE VINCENT, NY      ",CAP,AK,ALCAN
CHM,"CHAMPLAIN, NY         ",CHM,AK,ALCAN
CHT,"CHATEAUGAY, NY        ",CHT,AK,ALCAN
CLA,"CLAYTON, NY           ",CLA,AK,ALCAN
FTC,"FORT COVINGTON, NY    ",FTC,AK,ALCAN
LAG,"LA GUARDIA, NY        ",LAG,AK,ALCAN
LEW,"LEWISTON, NY          ",LEW,AK,ALCAN
MAS,"MASSENA, NY           ",MAS,AK,ALCAN
MAG,"MCGUIRE AFB, NY       ",MAG,AK,ALCAN
MOO,"MOORES, NY            ",MOO,AK,ALCAN
MRR,"MORRISTOWN, NY        ",MRR,AK,ALCAN
NYC,"NEW YORK, NY          ",NYC,AK,ALCAN
NIA,"NIAGARA FALLS, NY     ",NIA,AK,ALCAN
OGD,"OGDENSBURG, NY        ",OGD,AK,ALCAN
OSW,"OSWEGO, NY            ",OSW,AK,ALCAN
ELM,"REGIONAL ARPT - HORSEHEAD, NY",ELM,AK,ALCAN
ROC,"ROCHESTER, NY         ",ROC,AK,ALCAN
ROU,"ROUSES POINT, NY      ",ROU,AK,ALCAN
SWF,"STEWART - ORANGE CNTY, NY",SWF,AK,ALCAN
SYR,"SYRACUSE, NY          ",SYR,AK,ALCAN
THO,"THOUSAND ISLAND BRIDGE, NY",THO,AK,ALCAN
TRO,"TROUT RIVER, NY       ",TRO,AK,ALCAN
WAT,"WATERTOWN, NY         ",WAT,AK,ALCAN
HPN,"WESTCHESTER - WHITE PLAINS, NY",HPN,AK,ALCAN
WRB,"WHIRLPOOL BRIDGE, NY",WRB,AK,ALCAN
YOU,"YOUNGSTOWN, NY        ",YOU,AK,ALCAN
AKR,"AKRON, OH             ",AKR,AK,ALCAN
ATB,"ASHTABULA, OH         ",ATB,AK,ALCAN
CIN,"CINCINNATI, OH        ",CIN,AK,ALCAN
CLE,"CLEVELAND, OH         ",CLE,AK,ALCAN
CLM,"COLUMBUS, OH          ",CLM,AK,ALCAN
LOR,"LORAIN, OH            ",LOR,AK,ALCAN
MBO,"MARBLE HEADS, OH      ",MBO,AK,ALCAN
SDY,"SANDUSKY, OH          ",SDY,AK,ALCAN
TOL,"TOLEDO, OH            ",TOL,AK,ALCAN
OKC,"OKLAHOMA CITY, OK     ",OKC,AK,ALCAN
TUL,"TULSA, OK",TUL,AK,ALCAN
AST,"ASTORIA, OR           ",AST,AK,ALCAN
COO,"COOS BAY, OR          ",COO,AK,ALCAN
HIO,"HILLSBORO, OR",HIO,AK,ALCAN
MED,"MEDFORD, OR           ",MED,AK,ALCAN
NPT,"NEWPORT, OR           ",NPT,AK,ALCAN
POO,"PORTLAND, OR          ",POO,AK,ALCAN
PUT,"PUT-IN-BAY, OH        ",PUT,AK,ALCAN
RDM,"ROBERTS FIELDS - REDMOND, OR",RDM,AK,ALCAN
ERI,"ERIE, PA              ",ERI,AK,ALCAN
MDT,"HARRISBURG, PA",MDT,AK,ALCAN
HSB,"HARRISONBURG, PA      ",HSB,AK,ALCAN
PHI,"PHILADELPHIA, PA      ",PHI,AK,ALCAN
PIT,"PITTSBURG, PA         ",PIT,AK,ALCAN
AGU,"AGUADILLA, PR         ",AGU,AK,ALCAN
BQN,"BORINQUEN - AGUADILLO, PR",BQN,AK,ALCAN
JCP,"CULEBRA - BENJAMIN RIVERA, PR",JCP,AK,ALCAN
ENS,"ENSENADA, PR          ",ENS,AK,ALCAN
FAJ,"FAJARDO, PR           ",FAJ,AK,ALCAN
HUM,"HUMACAO, PR           ",HUM,AK,ALCAN
JOB,"JOBOS, PR             ",JOB,AK,ALCAN
MAY,"MAYAGUEZ, PR          ",MAY,AK,ALCAN
PON,"PONCE, PR             ",PON,AK,ALCAN
PSE,"PONCE-MERCEDITA, PR",PSE,AK,ALCAN
SAJ,"SAN JUAN, PR          ",SAJ,AK,ALCAN
VQS,"VIEQUES-ARPT, PR",VQS,AK,ALCAN
PRO,"PROVIDENCE, RI        ",PRO,AK,ALCAN
PVD,"THEODORE FRANCIS - WARWICK, RI",PVD,AK,ALCAN
CHL,"CHARLESTON, SC        ",CHL,AK,ALCAN
CAE,"COLUMBIA, SC #ARPT",CAE,AK,ALCAN
GEO,"GEORGETOWN, SC        ",GEO,AK,ALCAN
GSP,"GREENVILLE, SC",GSP,AK,ALCAN
GRR,"GREER, SC",GRR,AK,ALCAN
MYR,"MYRTLE BEACH, SC",MYR,AK,ALCAN
SPF,"BLACK HILLS, SPEARFISH, SD",SPF,AK,ALCAN
HON,"HOWES REGIONAL ARPT - HURON, SD",HON,AK,ALCAN
SAI,"SAIPAN, SPN           ",SAI,AK,ALCAN
TYS,"MC GHEE TYSON - ALCOA, TN",TYS,AK,ALCAN
MEM,"MEMPHIS, TN           ",MEM,AK,ALCAN
NSV,"NASHVILLE, TN         ",NSV,AK,ALCAN
TRI,"TRI CITY ARPT, TN",TRI,AK,ALCAN
ADS,"ADDISON AIRPORT- ADDISON, TX",ADS,AK,ALCAN
ADT,"AMISTAD DAM, TX       ",ADT,AK,ALCAN
ANZ,"ANZALDUAS, TX",ANZ,AK,ALCAN
AUS,"AUSTIN, TX            ",AUS,AK,ALCAN
BEA,"BEAUMONT, TX          ",BEA,AK,ALCAN
BBP,"BIG BEND PARK, TX (BPS)",BBP,AK,ALCAN
SCC,"BP SPEC COORD. CTR, TX",SCC,AK,ALCAN
BTC,"BP TACTICAL UNIT, TX  ",BTC,AK,ALCAN
BOA,"BRIDGE OF AMERICAS, TX",BOA,AK,ALCAN
BRO,"BROWNSVILLE, TX       ",BRO,AK,ALCAN
CRP,"CORPUS CHRISTI, TX    ",CRP,AK,ALCAN
DAL,"DALLAS, TX            ",DAL,AK,ALCAN
DLR,"DEL RIO, TX           ",DLR,AK,ALCAN
DNA,"DONNA, TX",DNA,AK,ALCAN
EGP,"EAGLE PASS, TX        ",EGP,AK,ALCAN
ELP,"EL PASO, TX           ",ELP,AK,ALCAN
FAB,"FABENS, TX            ",FAB,AK,ALCAN
FAL,"FALCON HEIGHTS, TX    ",FAL,AK,ALCAN
FTH,"FORT HANCOCK, TX      ",FTH,AK,ALCAN
AFW,"FORT WORTH ALLIANCE, TX",AFW,AK,ALCAN
FPT,"FREEPORT, TX          ",FPT,AK,ALCAN
GAL,"GALVESTON, TX         ",GAL,AK,ALCAN
HLG,"HARLINGEN, TX         ",HLG,AK,ALCAN
HID,"HIDALGO, TX           ",HID,AK,ALCAN
HOU,"HOUSTON, TX           ",HOU,AK,ALCAN
SGR,"HULL FIELD, SUGAR LAND ARPT, TX",SGR,AK,ALCAN
LLB,"JUAREZ-LINCOLN BRIDGE, TX",LLB,AK,ALCAN
LCB,"LAREDO COLUMBIA BRIDGE, TX",LCB,AK,ALCAN
LRN,"LAREDO NORTH, TX      ",LRN,AK,ALCAN
LAR,"LAREDO, TX            ",LAR,AK,ALCAN
LSE,"LOS EBANOS, TX        ",LSE,AK,ALCAN
IND,"LOS INDIOS, TX",IND,AK,ALCAN
LOI,"LOS INDIOS, TX        ",LOI,AK,ALCAN
MRS,"MARFA, TX (BPS)",MRS,AK,ALCAN
MCA,"MCALLEN, TX           ",MCA,AK,ALCAN
MAF,"ODESSA REGIONAL, TX",MAF,AK,ALCAN
PDN,"PASO DEL NORTE,TX     ",PDN,AK,ALCAN
PBB,"PEACE BRIDGE, NY      ",PBB,AK,ALCAN
PHR,"PHARR, TX             ",PHR,AK,ALCAN
PAR,"PORT ARTHUR, TX       ",PAR,AK,ALCAN
